nohup: ignoring input
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
wandb: Tracking run with wandb version 0.21.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data1/gushengda/minesweeper/wandb/offline-run-20250809_102159-ku76ejlc
Using device: cuda
Update 34/6103 | Value Loss: 0.205 | Policy Loss: -0.084 | Entropy: 2.400 | Var: 0.099 | SPS: 1597 | Win Rate: 0.000 | ETA: 08:38:34
Update 35/6103 | Value Loss: 0.206 | Policy Loss: -0.078 | Entropy: 2.354 | Var: 0.133 | SPS: 1604 | Win Rate: 0.500 | ETA: 08:36:23
Update 36/6103 | Value Loss: 0.195 | Policy Loss: -0.079 | Entropy: 2.342 | Var: 0.145 | SPS: 1608 | Win Rate: 0.000 | ETA: 08:35:01
Update 37/6103 | Value Loss: 0.186 | Policy Loss: -0.087 | Entropy: 2.311 | Var: 0.139 | SPS: 1615 | Win Rate: 0.200 | ETA: 08:32:48
Update 38/6103 | Value Loss: 0.211 | Policy Loss: -0.084 | Entropy: 2.245 | Var: 0.105 | SPS: 1621 | Win Rate: 0.000 | ETA: 08:30:31
Update 39/6103 | Value Loss: 0.212 | Policy Loss: -0.083 | Entropy: 2.267 | Var: 0.101 | SPS: 1627 | Win Rate: 0.333 | ETA: 08:28:45
Update 40/6103 | Value Loss: 0.217 | Policy Loss: -0.089 | Entropy: 2.235 | Var: 0.120 | SPS: 1633 | Win Rate: 0.333 | ETA: 08:26:46
Update 41/6103 | Value Loss: 0.205 | Policy Loss: -0.084 | Entropy: 2.198 | Var: 0.110 | SPS: 1637 | Win Rate: 1.000 | ETA: 08:25:21
Update 42/6103 | Value Loss: 0.204 | Policy Loss: -0.081 | Entropy: 2.187 | Var: 0.127 | SPS: 1643 | Win Rate: 0.000 | ETA: 08:23:32
Update 43/6103 | Value Loss: 0.217 | Policy Loss: -0.081 | Entropy: 2.153 | Var: 0.143 | SPS: 1648 | Win Rate: 0.000 | ETA: 08:21:53
Update 44/6103 | Value Loss: 0.227 | Policy Loss: -0.081 | Entropy: 2.149 | Var: 0.160 | SPS: 1653 | Win Rate: 0.333 | ETA: 08:20:18
Update 45/6103 | Value Loss: 0.226 | Policy Loss: -0.086 | Entropy: 2.175 | Var: 0.115 | SPS: 1659 | Win Rate: 0.000 | ETA: 08:18:19
Update 46/6103 | Value Loss: 0.225 | Policy Loss: -0.081 | Entropy: 2.205 | Var: 0.136 | SPS: 1665 | Win Rate: 0.400 | ETA: 08:16:38
Update 47/6103 | Value Loss: 0.241 | Policy Loss: -0.076 | Entropy: 2.121 | Var: 0.127 | SPS: 1670 | Win Rate: 0.667 | ETA: 08:15:01
Update 48/6103 | Value Loss: 0.226 | Policy Loss: -0.071 | Entropy: 2.102 | Var: 0.138 | SPS: 1675 | Win Rate: 0.000 | ETA: 08:13:32
Update 49/6103 | Value Loss: 0.221 | Policy Loss: -0.080 | Entropy: 2.135 | Var: 0.176 | SPS: 1679 | Win Rate: 0.000 | ETA: 08:12:05
Update 50/6103 | Value Loss: 0.230 | Policy Loss: -0.082 | Entropy: 2.099 | Var: 0.143 | SPS: 1684 | Win Rate: 0.400 | ETA: 08:10:44
Update 51/6103 | Value Loss: 0.236 | Policy Loss: -0.085 | Entropy: 2.093 | Var: 0.122 | SPS: 1688 | Win Rate: 1.000 | ETA: 08:09:18
Update 52/6103 | Value Loss: 0.237 | Policy Loss: -0.083 | Entropy: 2.093 | Var: 0.140 | SPS: 1691 | Win Rate: 0.400 | ETA: 08:08:33
Update 53/6103 | Value Loss: 0.245 | Policy Loss: -0.074 | Entropy: 2.110 | Var: 0.069 | SPS: 1696 | Win Rate: 1.000 | ETA: 08:07:00
Update 54/6103 | Value Loss: 0.229 | Policy Loss: -0.082 | Entropy: 2.054 | Var: 0.144 | SPS: 1699 | Win Rate: 0.500 | ETA: 08:05:56
Update 55/6103 | Value Loss: 0.235 | Policy Loss: -0.080 | Entropy: 2.089 | Var: 0.143 | SPS: 1702 | Win Rate: 0.500 | ETA: 08:05:05
Update 56/6103 | Value Loss: 0.242 | Policy Loss: -0.079 | Entropy: 2.058 | Var: 0.137 | SPS: 1705 | Win Rate: 0.000 | ETA: 08:04:04
Update 57/6103 | Value Loss: 0.236 | Policy Loss: -0.079 | Entropy: 2.056 | Var: 0.174 | SPS: 1708 | Win Rate: 0.000 | ETA: 08:03:14
Update 58/6103 | Value Loss: 0.244 | Policy Loss: -0.086 | Entropy: 2.037 | Var: 0.116 | SPS: 1711 | Win Rate: 0.333 | ETA: 08:02:09
Update 59/6103 | Value Loss: 0.240 | Policy Loss: -0.080 | Entropy: 2.003 | Var: 0.148 | SPS: 1715 | Win Rate: 0.167 | ETA: 08:00:57
Update 60/6103 | Value Loss: 0.253 | Policy Loss: -0.081 | Entropy: 2.030 | Var: 0.094 | SPS: 1719 | Win Rate: 0.000 | ETA: 07:59:48
Update 61/6103 | Value Loss: 0.238 | Policy Loss: -0.083 | Entropy: 2.034 | Var: 0.170 | SPS: 1722 | Win Rate: 0.000 | ETA: 07:58:53
Update 62/6103 | Value Loss: 0.249 | Policy Loss: -0.067 | Entropy: 2.015 | Var: 0.134 | SPS: 1725 | Win Rate: 0.000 | ETA: 07:57:55
Update 63/6103 | Value Loss: 0.253 | Policy Loss: -0.087 | Entropy: 2.027 | Var: 0.138 | SPS: 1729 | Win Rate: 0.000 | ETA: 07:56:54
Update 64/6103 | Value Loss: 0.247 | Policy Loss: -0.083 | Entropy: 2.010 | Var: 0.106 | SPS: 1732 | Win Rate: 0.000 | ETA: 07:56:00
Update 65/6103 | Value Loss: 0.247 | Policy Loss: -0.078 | Entropy: 1.974 | Var: 0.167 | SPS: 1734 | Win Rate: 0.333 | ETA: 07:55:13
Update 66/6103 | Value Loss: 0.245 | Policy Loss: -0.079 | Entropy: 1.992 | Var: 0.140 | SPS: 1737 | Win Rate: 0.000 | ETA: 07:54:15
Update 67/6103 | Value Loss: 0.258 | Policy Loss: -0.081 | Entropy: 2.019 | Var: 0.145 | SPS: 1740 | Win Rate: 0.200 | ETA: 07:53:33
Update 68/6103 | Value Loss: 0.269 | Policy Loss: -0.075 | Entropy: 1.988 | Var: 0.109 | SPS: 1742 | Win Rate: 1.000 | ETA: 07:52:46
Update 69/6103 | Value Loss: 0.234 | Policy Loss: -0.084 | Entropy: 1.984 | Var: 0.151 | SPS: 1746 | Win Rate: 0.000 | ETA: 07:51:49
Update 70/6103 | Value Loss: 0.236 | Policy Loss: -0.083 | Entropy: 1.932 | Var: 0.122 | SPS: 1748 | Win Rate: 0.250 | ETA: 07:51:04
Update 71/6103 | Value Loss: 0.270 | Policy Loss: -0.075 | Entropy: 1.975 | Var: 0.145 | SPS: 1751 | Win Rate: 0.667 | ETA: 07:50:09
Update 72/6103 | Value Loss: 0.260 | Policy Loss: -0.086 | Entropy: 1.943 | Var: 0.145 | SPS: 1754 | Win Rate: 0.250 | ETA: 07:49:15
Update 73/6103 | Value Loss: 0.253 | Policy Loss: -0.078 | Entropy: 1.895 | Var: 0.142 | SPS: 1756 | Win Rate: 1.000 | ETA: 07:48:50
Update 74/6103 | Value Loss: 0.242 | Policy Loss: -0.072 | Entropy: 1.919 | Var: 0.135 | SPS: 1757 | Win Rate: 0.667 | ETA: 07:48:21
Update 75/6103 | Value Loss: 0.254 | Policy Loss: -0.078 | Entropy: 1.866 | Var: 0.144 | SPS: 1759 | Win Rate: 0.250 | ETA: 07:47:38
Update 76/6103 | Value Loss: 0.264 | Policy Loss: -0.077 | Entropy: 1.917 | Var: 0.124 | SPS: 1762 | Win Rate: 0.333 | ETA: 07:47:00
Update 77/6103 | Value Loss: 0.267 | Policy Loss: -0.078 | Entropy: 1.846 | Var: 0.147 | SPS: 1764 | Win Rate: 0.000 | ETA: 07:46:18
Update 78/6103 | Value Loss: 0.259 | Policy Loss: -0.081 | Entropy: 1.861 | Var: 0.127 | SPS: 1765 | Win Rate: 0.333 | ETA: 07:45:49
Update 79/6103 | Value Loss: 0.265 | Policy Loss: -0.075 | Entropy: 1.851 | Var: 0.113 | SPS: 1767 | Win Rate: 0.000 | ETA: 07:45:12
Update 80/6103 | Value Loss: 0.263 | Policy Loss: -0.075 | Entropy: 1.812 | Var: 0.124 | SPS: 1770 | Win Rate: 0.000 | ETA: 07:44:30
Update 81/6103 | Value Loss: 0.255 | Policy Loss: -0.074 | Entropy: 1.893 | Var: 0.157 | SPS: 1772 | Win Rate: 0.000 | ETA: 07:43:58
Update 82/6103 | Value Loss: 0.252 | Policy Loss: -0.075 | Entropy: 1.824 | Var: 0.169 | SPS: 1774 | Win Rate: 0.667 | ETA: 07:43:22
Update 83/6103 | Value Loss: 0.275 | Policy Loss: -0.073 | Entropy: 1.866 | Var: 0.139 | SPS: 1776 | Win Rate: 0.000 | ETA: 07:42:39
Update 84/6103 | Value Loss: 0.256 | Policy Loss: -0.073 | Entropy: 1.798 | Var: 0.133 | SPS: 1779 | Win Rate: 0.000 | ETA: 07:41:52
Update 85/6103 | Value Loss: 0.269 | Policy Loss: -0.077 | Entropy: 1.828 | Var: 0.131 | SPS: 1780 | Win Rate: 0.667 | ETA: 07:41:21
Update 86/6103 | Value Loss: 0.277 | Policy Loss: -0.072 | Entropy: 1.847 | Var: 0.131 | SPS: 1782 | Win Rate: 0.000 | ETA: 07:40:46
Update 87/6103 | Value Loss: 0.274 | Policy Loss: -0.075 | Entropy: 1.797 | Var: 0.152 | SPS: 1783 | Win Rate: 0.000 | ETA: 07:40:32
Update 88/6103 | Value Loss: 0.262 | Policy Loss: -0.072 | Entropy: 1.827 | Var: 0.134 | SPS: 1784 | Win Rate: 0.833 | ETA: 07:40:10
Update 89/6103 | Value Loss: 0.281 | Policy Loss: -0.077 | Entropy: 1.862 | Var: 0.136 | SPS: 1786 | Win Rate: 0.000 | ETA: 07:39:32
Update 90/6103 | Value Loss: 0.286 | Policy Loss: -0.070 | Entropy: 1.836 | Var: 0.115 | SPS: 1788 | Win Rate: 0.600 | ETA: 07:38:54
Update 91/6103 | Value Loss: 0.259 | Policy Loss: -0.079 | Entropy: 1.843 | Var: 0.149 | SPS: 1791 | Win Rate: 0.000 | ETA: 07:38:15
Update 92/6103 | Value Loss: 0.274 | Policy Loss: -0.075 | Entropy: 1.864 | Var: 0.128 | SPS: 1793 | Win Rate: 0.500 | ETA: 07:37:42
Update 93/6103 | Value Loss: 0.273 | Policy Loss: -0.076 | Entropy: 1.860 | Var: 0.147 | SPS: 1795 | Win Rate: 0.500 | ETA: 07:37:06
Update 94/6103 | Value Loss: 0.273 | Policy Loss: -0.080 | Entropy: 1.870 | Var: 0.148 | SPS: 1797 | Win Rate: 0.167 | ETA: 07:36:30
Update 95/6103 | Value Loss: 0.269 | Policy Loss: -0.077 | Entropy: 1.859 | Var: 0.106 | SPS: 1798 | Win Rate: 0.000 | ETA: 07:35:58
Update 96/6103 | Value Loss: 0.258 | Policy Loss: -0.079 | Entropy: 1.840 | Var: 0.134 | SPS: 1800 | Win Rate: 0.000 | ETA: 07:35:27
Update 97/6103 | Value Loss: 0.261 | Policy Loss: -0.068 | Entropy: 1.838 | Var: 0.125 | SPS: 1802 | Win Rate: 0.000 | ETA: 07:35:00
Update 98/6103 | Value Loss: 0.257 | Policy Loss: -0.077 | Entropy: 1.803 | Var: 0.163 | SPS: 1804 | Win Rate: 0.000 | ETA: 07:34:25
Update 99/6103 | Value Loss: 0.247 | Policy Loss: -0.075 | Entropy: 1.838 | Var: 0.160 | SPS: 1806 | Win Rate: 0.600 | ETA: 07:33:49
Update 100/6103 | Value Loss: 0.261 | Policy Loss: -0.076 | Entropy: 1.846 | Var: 0.155 | SPS: 1808 | Win Rate: 0.250 | ETA: 07:33:15
Update 101/6103 | Value Loss: 0.260 | Policy Loss: -0.084 | Entropy: 1.897 | Var: 0.148 | SPS: 1810 | Win Rate: 0.333 | ETA: 07:32:43
Update 102/6103 | Value Loss: 0.249 | Policy Loss: -0.076 | Entropy: 1.874 | Var: 0.177 | SPS: 1811 | Win Rate: 0.000 | ETA: 07:32:16
Update 103/6103 | Value Loss: 0.263 | Policy Loss: -0.077 | Entropy: 1.860 | Var: 0.130 | SPS: 1813 | Win Rate: 0.500 | ETA: 07:31:45
Update 104/6103 | Value Loss: 0.278 | Policy Loss: -0.074 | Entropy: 1.848 | Var: 0.121 | SPS: 1815 | Win Rate: 0.500 | ETA: 07:31:11
Update 105/6103 | Value Loss: 0.273 | Policy Loss: -0.077 | Entropy: 1.831 | Var: 0.133 | SPS: 1816 | Win Rate: 0.500 | ETA: 07:30:47
Update 106/6103 | Value Loss: 0.272 | Policy Loss: -0.079 | Entropy: 1.807 | Var: 0.120 | SPS: 1818 | Win Rate: 0.250 | ETA: 07:30:22
Update 107/6103 | Value Loss: 0.263 | Policy Loss: -0.075 | Entropy: 1.791 | Var: 0.139 | SPS: 1819 | Win Rate: 1.000 | ETA: 07:29:58
Update 108/6103 | Value Loss: 0.282 | Policy Loss: -0.076 | Entropy: 1.762 | Var: 0.084 | SPS: 1820 | Win Rate: 0.833 | ETA: 07:29:30
Update 109/6103 | Value Loss: 0.288 | Policy Loss: -0.074 | Entropy: 1.781 | Var: 0.134 | SPS: 1822 | Win Rate: 0.333 | ETA: 07:29:05
Update 110/6103 | Value Loss: 0.284 | Policy Loss: -0.076 | Entropy: 1.777 | Var: 0.117 | SPS: 1823 | Win Rate: 0.000 | ETA: 07:28:38
Update 111/6103 | Value Loss: 0.272 | Policy Loss: -0.076 | Entropy: 1.791 | Var: 0.144 | SPS: 1824 | Win Rate: 0.400 | ETA: 07:28:19
Update 112/6103 | Value Loss: 0.269 | Policy Loss: -0.081 | Entropy: 1.767 | Var: 0.128 | SPS: 1826 | Win Rate: 0.000 | ETA: 07:27:54
Update 113/6103 | Value Loss: 0.269 | Policy Loss: -0.077 | Entropy: 1.771 | Var: 0.137 | SPS: 1827 | Win Rate: 0.000 | ETA: 07:27:27
Update 114/6103 | Value Loss: 0.274 | Policy Loss: -0.072 | Entropy: 1.756 | Var: 0.143 | SPS: 1828 | Win Rate: 0.000 | ETA: 07:27:07
Update 115/6103 | Value Loss: 0.275 | Policy Loss: -0.080 | Entropy: 1.757 | Var: 0.131 | SPS: 1829 | Win Rate: 0.333 | ETA: 07:26:46
Update 116/6103 | Value Loss: 0.266 | Policy Loss: -0.068 | Entropy: 1.727 | Var: 0.114 | SPS: 1831 | Win Rate: 0.500 | ETA: 07:26:21
Update 117/6103 | Value Loss: 0.280 | Policy Loss: -0.074 | Entropy: 1.785 | Var: 0.127 | SPS: 1832 | Win Rate: 0.000 | ETA: 07:25:58
Update 118/6103 | Value Loss: 0.270 | Policy Loss: -0.075 | Entropy: 1.737 | Var: 0.140 | SPS: 1834 | Win Rate: 0.000 | ETA: 07:25:30
